k_bad,instance,strategy,growth
0,65,robust_G2,0.006097343711269406
0,65,robust_G3,0.0
0,65,robust_G6,0.0
0,65,equal_weight,0.02636835171816691
0,65,oracle_kelly,0.038364292927700314
0,66,naive_kelly,0.052895566619230984
0,66,robust_G0,0.053269957150295824
0,66,robust_G1,0.0608948671899101
0,66,robust_G2,0.056343550274038846
0,66,robust_G3,0.040197121078388576
0,66,robust_G6,0.024614657257862015
0,66,equal_weight,0.053879594707017225
0,66,oracle_kelly,0.06362541714419917
0,67,naive_kelly,0.06388162702663172
0,67,robust_G0,0.06409308458948662
0,67,robust_G1,0.06186844285694323
0,67,robust_G2,0.04843618503958424
0,67,robust_G3,0.02776977037716461
0,67,robust_G6,0.006070108902818217
0,67,equal_weight,0.06662034622159198
0,67,oracle_kelly,0.07077984580201985
0,68,naive_kelly,0.070512028971132
0,68,robust_G0,0.0706939049011159
0,68,robust_G1,0.07466619450491227
0,68,robust_G2,0.06266018374372587
0,68,robust_G3,0.044053062089655044
0,68,robust_G6,0.031024499741498738
0,68,equal_weight,0.06251212168400341
0,68,oracle_kelly,0.07657842858295882
0,69,naive_kelly,0.08002246542154323
0,69,robust_G0,0.07988222619759268
0,69,robust_G1,0.08581069853290484
0,69,robust_G2,0.08618058216808724
0,69,robust_G3,0.0625751679087743
0,69,robust_G6,0.026503388642174983
0,69,equal_weight,0.08172221761284129
0,69,oracle_kelly,0.08775473814526286
0,70,naive_kelly,0.06658306458891299
0,70,robust_G0,0.06645092435965846
0,70,robust_G1,0.07112768453393614
0,70,robust_G2,0.06967640481965322
0,70,robust_G3,0.06939239946634898
0,70,robust_G6,0.02665702418088039
0,70,equal_weight,0.06824570507306711
0,70,oracle_kelly,0.07208602060809374
0,71,naive_kelly,0.12969012791007958
0,71,robust_G0,0.1301757601842763
0,71,robust_G1,0.1230109813762005
0,71,robust_G2,0.10139373670166635
0,71,robust_G3,0.07237280165343574
0,71,robust_G6,0.016463675814030045
0,71,equal_weight,0.12768184911892905
0,71,oracle_kelly,0.13436803704657957
0,72,naive_kelly,0.09115454069930862
0,72,robust_G0,0.09114099363260089
0,72,robust_G1,0.08087038529200116
0,72,robust_G2,0.05953688757601394
0,72,robust_G3,0.03314724234977092
0,72,robust_G6,0.0
0,72,equal_weight,0.0811525565498507
0,72,oracle_kelly,0.0914816494279817
0,73,naive_kelly,0.06545547150936201
0,73,robust_G0,0.06527448793442542
0,73,robust_G1,0.06522957188934364
0,73,robust_G2,0.060400030823715846
0,73,robust_G3,0.04204957198304773
0,73,robust_G6,0.010906034673115066
0,73,equal_weight,0.062028352874287235
0,73,oracle_kelly,0.06921325567585956
0,74,naive_kelly,0.05491552422340892
0,74,robust_G0,0.05448734431154074
0,74,robust_G1,0.05865752992073641
0,74,robust_G2,0.04484584168395984
0,74,robust_G3,0.029704652068460652
0,74,robust_G6,0.005392472674486967
0,74,equal_weight,0.056879588510200106
0,74,oracle_kelly,0.06311682640232404
0,75,naive_kelly,0.0709849267513872
0,75,robust_G0,0.07046529115001604
0,75,robust_G1,0.07078522309481032
0,75,robust_G2,0.06694743600708138
0,75,robust_G3,0.05489412399330537
0,75,robust_G6,0.01043024198628522
0,75,equal_weight,0.07538597059089298
0,75,oracle_kelly,0.07906275051143927
0,76,naive_kelly,0.04089445030196163
0,76,robust_G0,0.04091881503287277
0,76,robust_G1,0.03461023772771854
0,76,robust_G2,0.028353356745857167
0,76,robust_G3,0.01639227831425453
0,76,robust_G6,0.0
